id,Item,Category,Price,Volume/Weight,Input date,Expiry date
2,Eggs,Eggs,500,800,28/01/2025,10/04/2025
4,Milk,Dairy,100,500,29/12/2024,05/04/2025
7,Bananas,Fruits,180,600,05/07/2025,12/07/2025
8,Broccoli,Vegetables,320,800,22/01/2025,30/01/2025
9,Cheese,Dairy,450,300,18/04/2025,15/05/2025
10,Carrots,Vegetables,250,900,12/06/2025,28/06/2025
15,Spinach,Vegetables,180,200,19/02/2025,24/02/2025
16,Ground Beef,Meat,950,800,08/04/2025,12/04/2025
18,Rice,Grains,120,1000,01/01/2025,31/12/2025
19,Pasta,Grains,95,500,15/02/2025,15/08/2025
20,Onions,Vegetables,150,600,20/03/2025,15/04/2025
21,Neco Noveho,Fruits,0,0,12/10/2025,12/10/2025
22,Ryba,Fish,0,0,12/10/2025,12/10/2025
